Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),(1/16), ,B," <p>This is a simple division series, each number is one-half of the previous number.</p><p>In other terms to say, the number is divided by 2 successively to get the next result.</p><p></p><pre>4/2 = 22/2 = 11/2 = 1/2(1/2)/2 = 1/4(1/4)/2 = 1/8 and so on.</pre><p></p> "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13, ,B," This is a simple alternating addition and subtraction series. In the first pattern, 3 is added, in the second, 2 is subtracted. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",20,22,23,26, ,B," This is an alternating number subtraction series. First, 2 is subtracted, then 4, then 2, and so on. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",22,24,25,26, ,C," In this simple alternating subtraction and addition series, 1 is subtracted, then 2 is added, and so on. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?",12,14,27,53, ,B," In this series, each number is repeated, then 13 is subtracted to arrive at the next number. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 21, 9, 21, 11, 21, 13, 21, ... What number should come next?",14,15,21,23, ,B," In this alternating repetition series, the random number 21 is interpolated every other number into an otherwise simple addition series that increases by 2, beginning with the number 9. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 58, 52, 46, 40, 34, ... What number should come next?",26,28,30,32, ,B, This is a simple subtraction series. Each number is 6 less than the previous number. 
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 3, 4, 7, 8, 11, 12, ... What number should come next?",7,10,14,15, ,D," This alternating addition series begins with 3, then 1 is added to give 4, then 3 is added to give 7, then 1 is added, and so on. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 8, 22, 8, 28, 8, ... What number should come next?",9,29,32,34, ,D," This is a simple addition series with a random number, 8, interpolated as every other number. In the series, 6 is added to each number except 8, to arrive at the next number. "
Logical Reasoning,Misscellaneous,"                            In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease,  and by how much                        ","Look at this series: 31, 29, 24, 22, 17, ... What number should come next?",15,14,13,12, ,A," This is a simple alternating subtraction series, which subtracts 2, then 5. "
