Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Cse Engineering,Introduction to Database, ,The DBMS acts as an interface between what two components of an enterprise-class database system?,Database application and the database,Data and the database,The user and the database application,Database application and SQL, ,A," No answer description available for this question. <a href=""discussion-10"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,Which of the following products was an early implementation of the relational model developed by E.F. Codd of IBM?,IDMS,DB2,dBase-II,R:base, ,B," No answer description available for this question. <a href=""discussion-19"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,The following are components of a database except ________ .,user data,metadata,reports,indexes, ,C," No answer description available for this question. <a href=""discussion-12"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,An application where only one user accesses the database at a given time is an example of a(n) ________ .,single-user database application,multiuser database application,e-commerce database application,data mining database application, ,A," No answer description available for this question. <a href=""discussion-2"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,An on-line commercial site such as Amazon.com is an example of a(n) ________ .,single-user database application,multiuser database application,e-commerce database application,data mining database application, ,C," No answer description available for this question. <a href=""discussion-4"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,Which of the following products was the first to implement true relational algebra in a PC DBMS?,IDMS,Oracle,dBase-II,R:base, ,D," No answer description available for this question. <a href=""discussion-20"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,SQL stands for ________ .,Structured Query Language,Sequential Query Language,Structured Question Language,Sequential Question Language, ,A," No answer description available for this question. <a href=""discussion-5"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,"Because it contains a description of its own structure, a database is considered to be ________ .",described,metadata compatible,self-describing,an application program, ,C," No answer description available for this question. <a href=""discussion-13"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,The following are functions of a DBMS except ________ .,creating and processing forms,creating databases,processing data,administrating databases, ,A," No answer description available for this question. <a href=""discussion-11"">Let us discuss</a>. "
Cse Engineering,Introduction to Database, ,Helping people keep track of things is the purpose of a(n) ________ .,database,table,instance,relationship, ,A," No answer description available for this question. <a href=""discussion-1"">Let us discuss</a>. "
