Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Chemical Engireering,Chemical Engineering Basics, ,Which one of the following is incombustible ?,H2,CCl4,C2H2,S, ,B," No answer description available for this question. <a href=""discussion-8830"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,The softness or hardness of a grinding wheel depends upon the type & amount of bonding material used. For general purpose cutter grinding __________ grinding wheel is normally used.,hard,soft,silicon carbide,aluminium oxide, ,D," No answer description available for this question. <a href=""discussion-9051"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,"Tin based white metals are used, where bearings are subjected to",high pressure & load.,low pressure & load.,high temperature.,large surface wear., ,A," No answer description available for this question. <a href=""discussion-8728"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Friction factor for fluid flow in pipe does not depend upon the,pipe length.,pipe roughness.,fluid density & viscosity.,mass flow rate of fluid., ,A," No answer description available for this question. <a href=""discussion-9229"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,"All of the following alloying elements of steel increases hardness but sacrifice ductility, except",nickel,vanadium,molybdenum,chromium, ,A," No answer description available for this question. <a href=""discussion-9390"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,The following type of bonding is strongly directional in solids.,Vander Waal's,Ionic,Metallic,Covalant, ,D," No answer description available for this question. <a href=""discussion-9502"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Fog is an example of colloidal system of,solid dispersed in gas.,solid dispersed in liquid.,liquid dispersed in gas.,gas dispersed in liquid., ,C," No answer description available for this question. <a href=""discussion-8889"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Chromium molybdenum steel can not be welded using __________ welding.,thermit,electrical resistance,oxy-acetylene,any of these, ,B," No answer description available for this question. <a href=""discussion-9642"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Speisses is a mixture of the following:,Arsenides of heavy metals.,Antimonides of heavy metals.,Arsenides & antimonides of heavy metals.,"Iron, cobalt and nickel.", ,A," No answer description available for this question. <a href=""discussion-9575"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Auto collimator is used to check,flatness,angle,rotor balancing,roughness, ,B," No answer description available for this question. <a href=""discussion-9771"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,"In troposphere (the weather domain), the temperature 't' at height 'h' above the sea level in metres is given by (where, temperature at sea level is 15Â°C and t is in Â°C.)",t = 15 - 0.0065 h,t = 15 + 0.0065 h,t = 0.0035 h - 15,t = 15 - 0.0035 h, ,A," No answer description available for this question. <a href=""discussion-9307"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,A high pressure boiler generates steam at a pressure greater than __________ kg/cm2 .,10,30,50,80, ,D," No answer description available for this question. <a href=""discussion-9205"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Evaporative cooling process employs a combination of cooling and humidification in which the,sensible heat is added.,sensible heat is removed and the latent heat is added.,latent heat is removed.,sensible heat is added and latent heat is removed., ,B," No answer description available for this question. <a href=""discussion-8463"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Which of the following is not an explosive ?,TNT,CMC,RDX,Lead azide, ,B," No answer description available for this question. <a href=""discussion-8432"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Maxwell's thermodynamic relations applies to the,chemical systems in equilibrium.,mechanical systems in equilibrium.,irreversible thermodynamic processes.,reversible thermodynamic processes., ,A," No answer description available for this question. <a href=""discussion-9217"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Annealing ofwhite cast iron produces __________ iron.,grey,nodular,malleable,spheroidal, ,C," No answer description available for this question. <a href=""discussion-8626"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,"Resistance of an electrical conductor is proportional to its (where, l = length and A = cross-sectional area of the conductor)",A,l,A2,both 'a' & 'b', ,D," No answer description available for this question. <a href=""discussion-9397"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,A solar cell converts the sunlight directly into __________ energy.,thermal,electrical,mechanical,chemical, ,B," No answer description available for this question. <a href=""discussion-8836"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,"If a nuclear reactor produces more fissile nuclear fuel than it consumes, then it is called a __________ reactor.",critical,breeder,fertile,heterogenous, ,B," No answer description available for this question. <a href=""discussion-9201"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Wrought iron is never shaped by,casting,cold working,forging,welding, ,A," No answer description available for this question. <a href=""discussion-9117"">Let us discuss</a>. "
Chemical Engireering,Chemical Engineering Basics, ,Powder metallurgy process does not make metal powder by,atomisation,grinding/milling,hammering,electrolytic deposition, ,C," No answer description available for this question. <a href=""discussion-9598"">Let us discuss</a>. "
