Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
G.K,Misslaneous, ,"Grand Central Terminal, Park Avenue, New York is the world's",largest railway station,highest railway station,longest railway station,None of the above, ,A," <p>For more details, Refer:</p><p><a target=""_blank"" href=""http://en.wikipedia.org/wiki/Grand_Central_Terminal"">http://en.wikipedia.org/wiki/Grand_Central_Terminal</a></p> "
G.K,Misslaneous, ,Entomology is the science that studies,Behavior of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks, ,B, Entomology: The branch of zoology concerned with the study of insects. 
G.K,Misslaneous, ,"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Asia,Africa,Europe,Australia, ,B," No answer description available for this question. <a href=""discussion-337"">Let us discuss</a>. "
G.K,Misslaneous, ,Garampani sanctuary is located at,"Junagarh, Gujarat","Diphu, Assam","Kohima, Nagaland","Gangtok, Sikkim", ,B," No answer description available for this question. <a href=""discussion-376"">Let us discuss</a>. "
G.K,Misslaneous, ,For which of the following disciplines is Nobel Prize awarded?,Physics and Chemistry,Physiology or Medicine,"Literature, Peace and Economics",All of the above, ,D," No answer description available for this question. <a href=""discussion-366"">Let us discuss</a>. "
G.K,Misslaneous, ,Hitler party which came into power in 1933 is known as,Labour Party,Nazi Party,Ku-Klux-Klan,Democratic Party, ,B," No answer description available for this question. <a href=""discussion-399"">Let us discuss</a>. "
G.K,Misslaneous, ,Brass gets discoloured in air because of the presence of which of the following gases in air?,Oxygen,Hydrogen sulphide,Carbon dioxide,Nitrogen, ,B," No answer description available for this question. <a href=""discussion-2645"">Let us discuss</a>. "
G.K,Misslaneous, ,Which of the following is a non metal that remains liquid at room temperature?,Phosphorous,Bromine,Chlorine,Helium, ,B," No answer description available for this question. <a href=""discussion-2597"">Let us discuss</a>. "
G.K,Misslaneous, ,Chlorophyll is a naturally occurring chelate compound in which central metal is,copper,magnesium,iron,calcium, ,B," No answer description available for this question. <a href=""discussion-2610"">Let us discuss</a>. "
G.K,Misslaneous, ,Which of the following is used in pencils?,Graphite,Silicon,Charcoal,Phosphorous, ,A," No answer description available for this question. <a href=""discussion-2609"">Let us discuss</a>. "
G.K,Misslaneous, ,Which of the following metals forms an amalgam with other metals?,Tin,Mercury,Lead,Zinc, ,B," No answer description available for this question. <a href=""discussion-2600"">Let us discuss</a>. "
G.K,Misslaneous, ,Chemical formula for water is,NaAlO2,H2O,Al2O3,CaSiO3, ,B," No answer description available for this question. <a href=""discussion-2615"">Let us discuss</a>. "
G.K,Misslaneous, ,The gas usually filled in the electric bulb is,nitrogen,hydrogen,carbon dioxide,oxygen, ,A," No answer description available for this question. <a href=""discussion-2616"">Let us discuss</a>. "
G.K,Misslaneous, ,Washing soda is the common name for,Sodium carbonate,Calcium bicarbonate,Sodium bicarbonate,Calcium carbonate, ,A," <p><b>What is the scientific name for washing soda?</b></p><p>Sodium carbonate (also known as washing soda or soda ash), Na2CO3 is a sodium salt of carbonic acid.</p><p><b>Scientific name for baking soda?</b></p><p>Sodium bicarbonate or sodium hydrogen carbonate is the chemical compound with the formula NaHCO3. Sodium bicarbonate is a white solid that is crystalline but often appears as a fine powder. Since it has long been known and is widely used, the salt has many related names such as baking soda, bread soda, cooking soda, and bicarbonate of soda.</p> "
G.K,Misslaneous, ,Quartz crystals normally used in quartz clocks etc. is chemically,silicon dioxide,germanium oxide,a mixture of germanium oxide and silicon dioxide,sodium silicate, ,A," No answer description available for this question. <a href=""discussion-2646"">Let us discuss</a>. "
G.K,Misslaneous, ,Which of the gas is not known as green house gas?,Methane,Nitrous oxide,Carbon dioxide,Hydrogen, ,D," <p>In order, the most abundant greenhouse gases in Earth's atmosphere are:<br><br>* water vapor<br>* carbon dioxide<br>* methane<br>* nitrous oxide<br>* ozone<br>* chlorofluorocarbons</p> "
G.K,Misslaneous, ,Bromine is a,black solid,red liquid,colourless gas,highly inflammable gas, ,B," No answer description available for this question. <a href=""discussion-2604"">Let us discuss</a>. "
G.K,Misslaneous, ,The hardest substance available on earth is,Gold,Iron,Diamond,Platinum, ,C," No answer description available for this question. <a href=""discussion-2636"">Let us discuss</a>. "
G.K,Misslaneous, ,The variety of coal in which the deposit contains recognisable traces of the original plant material is,bitumen,anthracite,lignite,peat, ,D," No answer description available for this question. <a href=""discussion-2649"">Let us discuss</a>. "
G.K,Misslaneous, ,Tetraethyl lead is used as,pain killer,fire extinguisher,mosquito repellent,petrol additive, ,D," No answer description available for this question. <a href=""discussion-2596"">Let us discuss</a>. "
G.K,Misslaneous, ,Which of the following is used as a lubricant?,Graphite,Silica,Iron Oxide,Diamond, ,A," No answer description available for this question. <a href=""discussion-2622"">Let us discuss</a>. "
G.K,Misslaneous, ,"The inert gas which is substituted for nitrogen in the air used by deep sea divers for breathing, is",Argon,Xenon,Helium,Krypton, ,C," No answer description available for this question. <a href=""discussion-2641"">Let us discuss</a>. "
G.K,Misslaneous, ,The gases used in different types of welding would include,oxygen and hydrogen,"oxygen, hydrogen, acetylene and nitrogen","oxygen, acetylene and argon",oxygen and acetylene, ,D," No answer description available for this question. <a href=""discussion-2618"">Let us discuss</a>. "
G.K,Misslaneous, ,The property of a substance to absorb moisture from the air on exposure is called,osmosis,deliquescence,efflorescence,desiccation, ,B," No answer description available for this question. <a href=""discussion-2644"">Let us discuss</a>. "
G.K,Misslaneous, ,In which of the following activities silicon carbide is used?,Making cement and glass,Disinfecting water of ponds,cutting very hard substances,Making casts for statues, ,C," No answer description available for this question. <a href=""discussion-2594"">Let us discuss</a>. "
G.K,Misslaneous, ,The average salinity of sea water is,3%,3.50%,2.50%,2%, ,B," No answer description available for this question. <a href=""discussion-2638"">Let us discuss</a>. "
G.K,Misslaneous, ,"When an iron nail gets rusted, iron oxide is formed",without any change in the weight of the nail,with decrease in the weight of the nail,with increase in the weight of the nail,without any change in colour or weight of the nail, ,C," No answer description available for this question. <a href=""discussion-2634"">Let us discuss</a>. "
G.K,Misslaneous, ,Galvanised iron sheets have a coating of,lead,chromium,zinc,tin, ,C," No answer description available for this question. <a href=""discussion-2625"">Let us discuss</a>. "
G.K,Misslaneous, ,"Among the various allotropes of carbon,","coke  is the hardest, graphite is the softest","diamond is the hardest, coke is the softest","diamond is the hardest, graphite is the softest","diamond is the hardest, lamp black is the softest", ,C," No answer description available for this question. <a href=""discussion-2626"">Let us discuss</a>. "
G.K,Misslaneous, ,"The group of metals Fe, Co, Ni may best called as",transition metals,main group metals,alkali metals,rare metals, ,A," No answer description available for this question. <a href=""discussion-2642"">Let us discuss</a>. "
G.K,Misslaneous, ,Heavy water is,deuterium oxide,PH7,rain water,tritium oxide, ,A," No answer description available for this question. <a href=""discussion-2617"">Let us discuss</a>. "
G.K,Misslaneous, ,The chemical (ethyl mercaptan) added to the otherwise odourless LPG cooking gas for imparting a detectable smell to the gas is a compound of,bromine,fluorine,chlorine,sulphur, ,D," No answer description available for this question. <a href=""discussion-2640"">Let us discuss</a>. "
G.K,Misslaneous, ,The element common to all acids is,hydrogen,carbon,sulphur,oxygen, ,A," No answer description available for this question. <a href=""discussion-2595"">Let us discuss</a>. "
G.K,Misslaneous, ,Non stick cooking utensils are coated with,Teflon,PVC,black paint,polystyrene, ,A," No answer description available for this question. <a href=""discussion-2605"">Let us discuss</a>. "
G.K,Misslaneous, ,Monazite is an ore of,titanium,zirconium,iron,thorium, ,D," No answer description available for this question. <a href=""discussion-2632"">Let us discuss</a>. "
